Date,trading_days,UPPER_BAND,LOWER_BAND,Asset_price,Cost_Basis,Stocks,BUY_Signal,SELL_Signal,starting_cash,ending_cash
2011-01-03,253,11.741390448364262,11.447209551635735,11.77,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-04,254,11.823435703777315,11.430164296222683,11.832,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-05,255,11.931604538302988,11.391995461697011,11.929,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-06,256,12.003808556222992,11.380991443777006,11.919,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-07,257,12.08795603251983,11.386243967480173,12.004,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-10,258,12.252567104163385,11.348432895836618,12.23,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-11,259,12.355202392124808,11.361197607875196,12.201,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-12,260,12.462950266929647,11.390049733070354,12.301,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-13,261,12.53287397341751,11.47752602658249,12.346,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-14,262,12.569028937047708,11.626571062952294,12.446,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-18,263,12.548979288972502,11.725820711027497,12.166,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-19,264,12.518301946008462,11.81029805399154,12.101,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-20,265,12.528659104512464,11.790340895487535,11.881,0.0,0.0,False,False,10199.249274999995,10199.249274999995
2011-01-21,266,12.597882011831372,11.67111798816863,11.669,0.0,0.0,True,False,10199.249274999995,10199.249274999995
2011-01-24,267,12.597641018117393,11.680958981882608,12.052,12.059026,87.0,False,False,10199.249274999995,9150.114012999995
2011-01-25,268,12.5912764934322,11.6799235065678,12.193,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-01-26,269,12.606889684822612,11.680110315177387,12.280000000000001,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-01-27,270,12.596641692089367,11.681558307910638,12.257,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-01-28,271,12.544482074247803,11.665317925752202,12.004,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-01-31,272,12.442142698265556,11.702257301734445,12.119,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-01,273,12.48765931647819,11.688140683521809,12.323,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-02,274,12.528755530791253,11.686244469208743,12.297,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-03,275,12.54503995901274,11.746960040987261,12.266,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-04,276,12.460040524335799,11.9731594756642,12.375,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-07,277,12.568105111067574,11.968094888932427,12.567,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-08,278,12.710225887356955,11.924574112643047,12.686,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-09,279,12.860203840402603,11.876796159597399,12.791,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-10,280,12.92595518825781,11.892044811742192,12.662,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-11,281,12.95226422142643,12.013935778573574,12.745000000000001,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-14,282,12.991862484754694,12.116137515245306,12.828,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-15,283,13.049226628417195,12.164973371582807,12.854000000000001,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-16,284,13.111194139224695,12.237405860775302,12.969,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
2011-02-17,285,13.060289222381478,12.394310777618522,12.796000000000001,12.059026,87.0,False,False,9150.114012999995,9150.114012999995
